,conf_val,fit_m,fit_b,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
72,0.72,0.4085775103969184,-1.2003610756073613,3612.37626557231,0.3552106510992335,6.102011164988957
73,0.73,0.40607898719552793,-1.5551766252610832,3641.0565650414546,0.3505287533039769,6.035687358001565
74,0.74,0.4036671616491886,-1.9722256149689201,3674.500194750771,0.343614363074209,6.031927894830712
75,0.75,0.4009425114142045,-2.0793617505114526,3750.979531161892,0.3477230948599978,6.097613719211949
76,0.76,0.3982616690399391,-4.265404045669129,3796.8147769655243,0.34255195836851604,6.1263569588885485
77,0.77,0.3952652201257813,-4.749637407192495,3810.4671920892506,0.3579511783248372,6.095210833456166
78,0.78,0.3924902238877798,-5.2446191508788615,3841.9802078433704,0.35724823139024947,5.968131461771215
79,0.79,0.3892545309139869,-5.611832492693793,3856.2993649378045,0.3746905496345118,6.095221346144456
80,0.8,0.38582995931429526,-6.182691409572726,3880.009713515524,0.36652665221048286,6.200054752679514
81,0.81,0.38244601236392933,-6.545937734947074,3995.1947794116727,0.3832105572745181,6.197015162893514
82,0.8200000000000001,0.3789932043744702,-6.610946272034198,4001.347222392926,0.37804352742431635,6.181204836539489
83,0.8300000000000001,0.37521387672752327,-6.721722471906105,4214.6630146849775,0.40397692519964135,6.190470102351664
84,0.84,0.3713451036377686,-6.69374156059348,4329.115610618538,0.40012671923434046,6.178355184836259
85,0.85,0.36712517943682643,-6.610411134664901,4431.810574898229,0.40376318395702043,6.159130209460937
86,0.86,0.3624254820100162,-7.458838116959669,4532.118134594288,0.4000058780244955,6.294540592568673
87,0.87,0.3574162830780681,-8.221285735809943,4648.379100622959,0.4000620682976355,6.3163700281233215
88,0.88,0.3518816452611451,-8.563133080257103,4739.527886969069,0.4270774280726945,6.323089869508031
89,0.89,0.3456922913130966,-8.525435389688937,4838.385687087756,0.420565315617699,6.324860974314463
90,0.9,0.3389360838262642,-8.533900787224411,4897.222676120496,0.41305562724732653,6.314587692414989
