conf_val,fit_m,fit_b,cov_m,cov_b,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
0.9,0.20926465945787734,74.94855108502352,0.2279777990821975,51.92558984121713,18446.754314603844,5.959464694949337,4.896968858165207
0.91,0.19637744641661456,66.26118808169207,0.1858733969842709,42.33563887823609,18614.565735009055,5.928886076311319,4.861625865124896
0.92,0.1824122173778442,57.89244691431221,0.14807886865213937,33.72733059419594,18814.48979438463,5.912362650523823,4.856719350246886
0.93,0.16699953453713298,48.989632849524156,0.11344143796041535,25.838101789931656,19073.375928955695,5.901135929350161,4.864251938534124
0.94,0.14988287483938906,41.76012325330311,0.08829926017317939,20.111568694381123,19315.55398453661,5.908313930460625,4.845412380240657
0.95,0.13086469888703264,33.97334561203938,0.06711293226443207,15.286043675453735,19658.115237477996,5.876741942591421,4.825166759700178
0.96,0.10930191459349253,25.786354462526905,0.039905529306001886,9.089122517552777,20113.27146044119,5.858000219629938,4.812820663111497
0.97,0.08443365457125478,18.64098498173075,0.023601362740769096,5.375587826115912,20767.05469784427,5.746949916995608,4.638466463440601
0.98,0.05644453781696715,11.38338698987293,0.009849864688674164,2.243464213948198,21830.698907933434,5.809023360137294,4.865440808649581
0.99,0.024870329018654186,5.32535462822828,0.0022566781362484815,0.5139945370918855,23491.786986043382,6.135337687902137,5.225322303065722
