conf_val,fit_m,fit_b,cov_m,cov_b,cov_corr,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
0.19,0.4569254427133473,81.67241914994666,5.29815587968259e-05,921.6556717883506,-0.009766036930886653,2797.388227202783,0.6186472686571574,6.070584394160727
0.2,0.4569255759779112,81.67240071746114,5.298148250057676e-05,921.6543445553971,-0.009766022867276526,2797.3442247345683,0.6186471608541776,6.0705743191249875
0.21,0.45692302559698683,81.67281216429521,5.298060425705926e-05,921.6390668222105,-0.009765860981540793,2796.8153318415802,0.6186490744909683,6.070475686871974
0.22,0.4569231244430888,81.67279997612944,5.2980518444789585e-05,921.6375740506338,-0.009765845163852264,2796.780406387981,0.6186489903341804,6.070468719369539
0.23,0.45692332988214246,81.67276683313965,5.2980589152117883e-05,921.638804059936,-0.009765858197262285,2796.8229932656395,0.6186488361840166,6.07047666969598
0.24,0.45692174160889487,81.67289762180259,5.298349507931361e-05,921.6893549373085,-0.00976639384387134,2797.6062775480464,0.6186503773018398,6.070592024784576
0.25,0.45691988012442025,81.67315949535104,5.2984636362197766e-05,921.7092084460988,-0.009766604215386417,2798.2345671834887,0.6186518711913318,6.070734307649768
0.26,0.4569161222852627,81.67359281620448,5.298849727570152e-05,921.7763720575484,-0.009767315893651854,2799.610534109727,0.6186551557991143,6.070988315862817
0.27,0.45690598821113887,81.67479859498708,5.299691446175842e-05,921.9227955952097,-0.009768867425010172,2801.882569036169,0.6186639273007393,6.0713486817924345
0.28,0.4568928510779548,81.67558375279934,5.301297001796661e-05,922.2020945584535,-0.009771826929381805,2802.131181386136,0.6186806020309266,6.071395368798518
0.29,0.456883398375032,81.6762528744212,5.3018179546771134e-05,922.2927183883119,-0.00977278719653613,2803.8433322051196,0.6186896043849757,6.0707277400916215
0.3,0.4568683259879482,80.12109403730284,5.334849834300101e-05,928.0388723135113,-0.009833674524810439,2800.9349184848506,0.6133413439777811,6.104521515025075
0.31,0.4568360600430505,80.06545249188554,5.340373001574557e-05,928.9996704780687,-0.009843855322960348,2804.3439696988708,0.6136973536434339,6.109135652502541
0.32,0.4567931944322595,80.0637185425646,5.3448986399762266e-05,929.7869406898336,-0.009852197386268835,2806.526875834075,0.6137629659160063,6.1095773057718805
0.33,0.45675582642512463,79.98062469892561,5.316611255648404e-05,924.866128845514,-0.009800055537992326,2808.029365577221,0.6134949727620751,6.109579161976075
